WorkOrderName,DateTime_Received,Address,Cross_Street,ZipCode,Comment,Latitude,Longitude,SubCategory,Hour,Minute,Year,Month,Day,Weekday
WO-0000030464,2015-03-10 03:33:15,424 Stone Ct,,95125,c/s Almaden Rd- couch- TV- garbage bag,37.306467,-121.877943,Mattress,3,33,2015,3,10,1
WO-0000382982,2020-08-21 22:25:07,1275 Plum St  San Jose  CA 95110  USA,,95110,There are couches mattress and pile of junk now they are dumping towards the end of the alley on Floyd st,37.315602,-121.878634,Mattress,22,25,2020,8,21,4
WO-0000445718,2021-04-01 14:20:40,2792 Camino Del Rey  San Jose  CA  USA,,95132,Accumulating junk in front of 2792 Camino Del Rey  on the corner.,37.396604,-121.865134,Unknown,14,20,2021,4,1,3
WO-0000321615,2017-06-15 19:15:51,1613 Koch Ln  San Jose  CA 95125  USA,,95125,The government workers haven’t done ANYTHING about the RV that was dumped at Booksin and Husted – except close my requests and spend my tax money. The government workers haven’t done ANYTHING to make San Jose a better place. Now the government workers have modified the “my san jose” web site so that I can no longer rate my customer experience. This surely doesn’t seem to be very customer oriented! My customer experience is lousy! Where does the city of San Jose find such lazy people?,37.274174,-121.904121,Unknown,19,15,2017,6,15,3
WO-0000005075,2021-04-13 02:41:16,Santa Teresa Blvd and Glenburry Way,,95123,Three mounds of household possessions  tarps  and shopping carts next to the pedestrian cut-through-,37.254558,-121.85254,Unknown,2,41,2021,4,13,1
WO-0000174806,2021-07-15 15:28:35,4 January Drive  San Jose  California 95138  United States,,95138,Corner of mayland Ave and ford rd. Someone left a garbage bag under a bus stop.,37.254816,-121.795174,Unknown,15,28,2021,7,15,3
WO-0000058039,2017-02-14 07:14:51,Chantilley Ln & Morrow Ct,,95139,garbage-,37.226531,-121.772192,Unknown,7,14,2017,2,14,1
WO-0000382551,2018-09-27 11:14:01,361 S Willard Ave  San Jose  CA 95126  USA,,95126,Wardrobe doors next to 361 s Willard,37.321675,-121.91714,Garbage and Debris,11,14,2018,9,27,3
WO-0000384867,2018-05-01 14:05:47,605 Serenade Way  San Jose  CA 95111  USA,,95111,Trash by sidewalk,37.278701,-121.815765,Furniture,14,5,2018,5,1,1
WO-0000077962,2016-03-31 12:21:34,Santa Teresa Blvd  San Jose  CA 95139  USA,,95139,Construction trash dumped all along Santa Teresa on the northbound side before you get to Bayliss place. Nails in road from this popped my tires.,37.218382,-121.759919,Unknown,12,21,2016,3,31,3
WO-0000373509,2017-11-04 20:51:43,708 S 3rd St  San Jose  CA 95112  USA,,95112,Just south of Margaret St. In the alley behind 703 S. 3rd. Dumpsters are overflowing every week.,37.326141,-121.880968,Unknown,20,51,2017,11,4,5
WO-0000422337,2016-09-12 18:13:52,2948 Glen Como Way,,95148,Office chair,37.333138,-121.800185,Unknown,18,13,2016,9,12,0
WO-0000464781,2016-09-30 17:57:04,3990 Manzanita Drive  San Jose  CA  USA,,95117,It's right in front of my house on the road near the curb. -- Around a week ago there was a car (a gray VW) parked in front of my house overnight and during next day. In the afternoon I saw a man doing something near that car's front right wheel (trying to replace it?). When the car left in the afternoon I saw the tire on the wheel  left at the spot where the car was previously parked. The tire and the wheel itself is a total rubbish. That man apparently didn't want to dispose it right  and just left it in front of my house (he also left a plastic box with unfinished yogurt  which I disposed by myself).,37.311285,-121.972927,Other,17,57,2016,9,30,4
WO-0000249040,2020-05-31 07:11:47,199 Valley Park Cir,,95139,Debris,37.223123,-121.775006,Unknown,7,11,2020,5,31,6
WO-0000470645,2020-01-25 02:54:51,1650 Las Plumas Ave,,95133,Tires  mattress  and misc garbage,37.361044,-121.866134,Garbage and Debris,2,54,2020,1,25,5
WO-0000367328,2017-12-15 13:49:45,563 Gridley St  San Jose  CA 95127  USA,,95127,On Gawain Drive between Flagler street and Gridley Street,37.382077,-121.835159,Garbage and Debris,13,49,2017,12,15,4
WO-0000278763,2018-11-21 11:28:19,990 Coe Avenue  San Jose  California 95125  United States,,95125,Dumping. Public intoxication,37.312768,-121.903579,Other,11,28,2018,11,21,2
WO-0000221193,2018-03-25 10:31:45,3141 Alum Rock Avenue  San Jose  California 95127  United States,,95127,Illegal dumping in Alum Rock Village Parking Lot—-far left corner of the parking lot.,37.36689,-121.827535,Unknown,10,31,2018,3,25,6
WO-0000454184,2016-10-01 03:17:17,2200 Almaden Rd  San Jose  CA 95125  USA,,95125,A red sofa couch dumped on city sidewalk just north of auxiliary driveway into Curtner Village condos (2202-2298 Almaden Rd.).   The couch is next to fire hydrant number A-09327 and a light pole that has a #15 up on light.,37.294054,-121.880372,Furniture,3,17,2016,10,1,5
WO-0000451005,2018-04-14 00:08:40,145 Goodyear St  San Jose  CA 95110  USA,,95110,Dumping on street. Between plum and mastic.,37.318385,-121.880526,Garbage and Debris,0,8,2018,4,14,5
WO-0000394918,2019-02-20 02:25:06,3490 Tuers Rd  San Jose  CA 95121  USA,,95121,Just as some dumped items are taken away  more appear.,37.296517,-121.820298,Garbage and Debris,2,25,2019,2,20,2
WO-0000116851,2015-08-30 12:52:56,3398 Landess Ave  San Jose  CA 95132  USA,,95132,Every week there are house hold items thrown in front of building 3398 Landess Ave  San Jose  ca 95132. In between the sidewalk and street.,37.421565,-121.861637,Garbage and Debris,12,52,2015,8,30,6
WO-0000276756,2018-03-01 04:17:14,2349 seacliff wy,,95122,cs Dixie Dr 2 refrigerators,37.32204,-121.828482,Other,4,17,2018,3,1,3
